,reaction,sample_id,flux
162,EX_ptrc_m,Cancer7,1e-06
163,EX_orn_m,Cancer7,1e-06
164,EX_26dap_M_m,Cancer7,1e-06
165,EX_nmn_m,Cancer7,0.022941933313260027
166,EX_amp_m,Cancer7,0.05833129855035121
167,EX_cgly_m,Cancer7,1e-06
168,EX_cytd_m,Cancer2,0.04433362665987671
169,EX_dcyt_m,Cancer2,0.08089123179489319
170,EX_csn_m,Cancer2,0.011194502695949404
171,EX_arg_L_m,Cancer2,0.014999672440297679
172,EX_his_L_m,Cancer2,0.007342567315301744
173,EX_asn_L_m,Cancer2,1e-06
174,EX_gln_L_m,Cancer2,1e-06
175,EX_lys_L_m,Cancer2,1e-06
176,EX_trp_L_m,Cancer2,1e-06
177,EX_thm_m,Cancer2,0.0006306679162463079
178,EX_pheme_m,Cancer2,0.0006192332046013144
179,EX_sheme_m,Cancer2,0.000618780481973171
180,EX_fe2_m,Cancer2,0.0002855672651233904
181,EX_fe3_m,Cancer2,0.0005116637441785715
182,EX_cu2_m,Cancer2,0.0003985924344032572
183,EX_cl_m,Cancer2,0.00039859190035309883
184,EX_mg2_m,Cancer2,0.0003985924381259823
185,EX_k_m,Cancer2,0.00039859395914969243
186,EX_mn2_m,Cancer2,0.00039859252449150196
187,EX_cobalt2_m,Cancer2,0.00039859273145864563
188,EX_ca2_m,Cancer2,0.0003985930190492985
189,EX_zn2_m,Cancer2,0.0003985922713051834
190,EX_metsox_S_L_m,Cancer2,1e-06
191,EX_pydam_m,Cancer2,1e-06
192,EX_dextran40_m,Cancer2,1e-06
193,EX_arabinoxyl_m,Cancer2,1e-06
194,EX_rhamnogalurII_m,Cancer2,1e-06
195,EX_pnto_R_m,Cancer2,1e-06
196,EX_q8_m,Cancer2,1e-06
197,EX_arabinan101_m,Cancer2,1e-06
198,EX_homogal_m,Cancer2,1e-06
199,EX_lichn_m,Cancer2,1e-06
200,EX_amylose300_m,Cancer2,1e-06
201,EX_glcmannan_m,Cancer2,1e-06
202,EX_xylan_m,Cancer2,1e-06
203,EX_pect_m,Cancer2,1e-06
204,EX_pydx_m,Cancer2,1e-06
205,EX_gthrd_m,Cancer2,1e-06
206,EX_pi_m,Cancer2,1e-06
207,EX_galmannan_m,Cancer2,1e-06
208,EX_xyluglc_m,Cancer2,1e-06
209,EX_levan1000_m,Cancer2,1e-06
210,EX_arabinogal_m,Cancer2,1e-06
211,EX_pullulan1200_m,Cancer2,1e-06
212,EX_starch1200_m,Cancer2,1e-06
213,EX_amylopect900_m,Cancer2,1e-06
214,EX_rhamnogalurI_m,Cancer2,1e-06
215,EX_gthox_m,Cancer2,1e-06
216,EX_spmd_m,Cancer2,4.838800944540263e-05
217,EX_fol_m,Cancer2,6.119533568645609e-05
218,EX_ptrc_m,Cancer2,1e-06
219,EX_orn_m,Cancer2,1e-06
220,EX_26dap_M_m,Cancer2,1e-06
221,EX_nmn_m,Cancer2,0.015192433950912689
222,EX_amp_m,Cancer2,0.09880325742724129
223,EX_cgly_m,Cancer2,1e-06
224,EX_cytd_m,Cancer1,0.054528700396339724
225,EX_dcyt_m,Cancer1,0.06934177492712101
226,EX_csn_m,Cancer1,0.014620016403944447
227,EX_arg_L_m,Cancer1,0.01499995651302699
228,EX_his_L_m,Cancer1,0.005300229462561645
229,EX_asn_L_m,Cancer1,1e-06
230,EX_gln_L_m,Cancer1,1e-06
231,EX_lys_L_m,Cancer1,1e-06
232,EX_trp_L_m,Cancer1,1e-06
233,EX_thm_m,Cancer1,0.0005442921883377085
234,EX_pheme_m,Cancer1,0.0006435402308308535
235,EX_sheme_m,Cancer1,0.0006222336173738385
236,EX_fe2_m,Cancer1,0.0003002514816262584
237,EX_fe3_m,Cancer1,0.0006028076353326503
238,EX_cu2_m,Cancer1,0.00045158828344599015
239,EX_cl_m,Cancer1,0.00045158772979930046
240,EX_mg2_m,Cancer1,0.00045158769354456486
241,EX_k_m,Cancer1,0.0004515917834955484
242,EX_mn2_m,Cancer1,0.0004515873472197863
243,EX_cobalt2_m,Cancer1,0.00045159811535121376
244,EX_ca2_m,Cancer1,0.0004515873731232696
245,EX_zn2_m,Cancer1,0.00045158847036005847
246,EX_metsox_S_L_m,Cancer1,1e-06
247,EX_pydam_m,Cancer1,1e-06
248,EX_dextran40_m,Cancer1,1e-06
249,EX_arabinoxyl_m,Cancer1,1e-06
250,EX_rhamnogalurII_m,Cancer1,1e-06
251,EX_pnto_R_m,Cancer1,1e-06
252,EX_q8_m,Cancer1,1e-06
253,EX_arabinan101_m,Cancer1,1e-06
254,EX_homogal_m,Cancer1,1e-06
255,EX_lichn_m,Cancer1,1e-06
256,EX_amylose300_m,Cancer1,1e-06
257,EX_glcmannan_m,Cancer1,1e-06
258,EX_xylan_m,Cancer1,1e-06
259,EX_pect_m,Cancer1,1e-06
260,EX_pydx_m,Cancer1,1e-06
261,EX_gthrd_m,Cancer1,1e-06
262,EX_pi_m,Cancer1,1e-06
263,EX_galmannan_m,Cancer1,1e-06
264,EX_xyluglc_m,Cancer1,1.3027469136618268e-05
265,EX_levan1000_m,Cancer1,1e-06
266,EX_arabinogal_m,Cancer1,1e-06
267,EX_pullulan1200_m,Cancer1,1e-06
268,EX_starch1200_m,Cancer1,1e-06
269,EX_amylopect900_m,Cancer1,1e-06
270,EX_rhamnogalurI_m,Cancer1,1e-06
271,EX_gthox_m,Cancer1,3.5622332151344354e-06
272,EX_spmd_m,Cancer1,3.489278402053245e-05
273,EX_fol_m,Cancer1,1.2931442696465561e-05
274,EX_ptrc_m,Cancer1,1e-06
275,EX_orn_m,Cancer1,1e-06
276,EX_26dap_M_m,Cancer1,1e-06
277,EX_nmn_m,Cancer1,0.02428923512650284
278,EX_amp_m,Cancer1,0.08967968675654225
279,EX_cgly_m,Cancer1,1e-06
280,EX_cytd_m,Healthy7,0.060853352153811935
281,EX_dcyt_m,Healthy7,0.05861165320474693
282,EX_csn_m,Healthy7,0.01799345770013261
283,EX_arg_L_m,Healthy7,0.014999700228545354
284,EX_his_L_m,Healthy7,0.006340807134672027
285,EX_asn_L_m,Healthy7,1e-06
286,EX_gln_L_m,Healthy7,1e-06
287,EX_lys_L_m,Healthy7,1e-06
288,EX_trp_L_m,Healthy7,1e-06
289,EX_thm_m,Healthy7,0.0004400451238206182
290,EX_pheme_m,Healthy7,0.0006450629238157325
291,EX_sheme_m,Healthy7,0.0006447250943694513
292,EX_fe2_m,Healthy7,0.0004621942083236269
293,EX_fe3_m,Healthy7,0.0007763251175255874
294,EX_cu2_m,Healthy7,0.0006194042018830521
295,EX_cl_m,Healthy7,0.0006194053778485236
296,EX_mg2_m,Healthy7,0.000619422471477017
297,EX_k_m,Healthy7,0.000619400480077962
298,EX_mn2_m,Healthy7,0.0006194044719431202
299,EX_cobalt2_m,Healthy7,0.0006194063674864374
300,EX_ca2_m,Healthy7,0.0006194063706353341
301,EX_zn2_m,Healthy7,0.0006194078182623548
302,EX_metsox_S_L_m,Healthy7,1e-06
303,EX_pydam_m,Healthy7,1e-06
304,EX_dextran40_m,Healthy7,1e-06
305,EX_arabinoxyl_m,Healthy7,1e-06
306,EX_rhamnogalurII_m,Healthy7,1e-06
307,EX_pnto_R_m,Healthy7,1e-06
308,EX_q8_m,Healthy7,1e-06
309,EX_arabinan101_m,Healthy7,1e-06
310,EX_homogal_m,Healthy7,1e-06
311,EX_lichn_m,Healthy7,1e-06
312,EX_amylose300_m,Healthy7,1e-06
313,EX_glcmannan_m,Healthy7,1e-06
314,EX_xylan_m,Healthy7,1e-06
315,EX_pect_m,Healthy7,1e-06
316,EX_pydx_m,Healthy7,1e-06
317,EX_gthrd_m,Healthy7,3.1616628959150322e-06
318,EX_pi_m,Healthy7,1e-06
319,EX_galmannan_m,Healthy7,1e-06
320,EX_xyluglc_m,Healthy7,1e-06
321,EX_levan1000_m,Healthy7,1e-06
322,EX_arabinogal_m,Healthy7,1e-06
323,EX_pullulan1200_m,Healthy7,1e-06
324,EX_starch1200_m,Healthy7,1e-06
325,EX_amylopect900_m,Healthy7,1e-06
326,EX_rhamnogalurI_m,Healthy7,1e-06
327,EX_gthox_m,Healthy7,1e-06
328,EX_spmd_m,Healthy7,3.076120154110193e-05
329,EX_fol_m,Healthy7,1.2680625958374144e-05
330,EX_ptrc_m,Healthy7,1e-06
331,EX_orn_m,Healthy7,1e-06
332,EX_26dap_M_m,Healthy7,1e-06
333,EX_nmn_m,Healthy7,0.019730024153430184
334,EX_amp_m,Healthy7,0.09424450783784198
335,EX_cgly_m,Healthy7,1.0144430517034126e-06
336,EX_cytd_m,Cancer4,0.003304641381828767
337,EX_dcyt_m,Cancer4,0.0034076624026587905
338,EX_csn_m,Cancer4,0.00123991755991959
339,EX_arg_L_m,Cancer4,0.01500011237936194
340,EX_his_L_m,Cancer4,0.015000025983543674
341,EX_asn_L_m,Cancer4,0.0018149671022267277
342,EX_gln_L_m,Cancer4,0.002491894879620992
343,EX_lys_L_m,Cancer4,0.004357167697844333
344,EX_trp_L_m,Cancer4,0.00010475333032931505
345,EX_thm_m,Cancer4,0.0005914836395090575
346,EX_pheme_m,Cancer4,0.0005685464403895509
347,EX_sheme_m,Cancer4,0.0005482057340748177
348,EX_fe2_m,Cancer4,0.00024761043096047054
349,EX_fe3_m,Cancer4,0.0003395616840954694
350,EX_cu2_m,Cancer4,0.0002936225789283282
351,EX_cl_m,Cancer4,0.00029362271516265295
352,EX_mg2_m,Cancer4,0.0002936190695871143
353,EX_k_m,Cancer4,0.0002936336722141878
354,EX_mn2_m,Cancer4,0.0002936240763377276
355,EX_cobalt2_m,Cancer4,0.00029363732326152206
356,EX_ca2_m,Cancer4,0.00029362423381533247
357,EX_zn2_m,Cancer4,0.0002935871236275631
358,EX_metsox_S_L_m,Cancer4,1e-06
359,EX_pydam_m,Cancer4,1e-06
360,EX_dextran40_m,Cancer4,1e-06
361,EX_arabinoxyl_m,Cancer4,1e-06
362,EX_rhamnogalurII_m,Cancer4,1e-06
363,EX_pnto_R_m,Cancer4,1e-06
364,EX_q8_m,Cancer4,1e-06
365,EX_arabinan101_m,Cancer4,1e-06
366,EX_homogal_m,Cancer4,1e-06
367,EX_lichn_m,Cancer4,1e-06
368,EX_amylose300_m,Cancer4,1e-06
369,EX_glcmannan_m,Cancer4,1e-06
370,EX_xylan_m,Cancer4,1e-06
371,EX_pect_m,Cancer4,1e-06
372,EX_pydx_m,Cancer4,1e-06
373,EX_gthrd_m,Cancer4,1e-06
374,EX_pi_m,Cancer4,1e-06
375,EX_galmannan_m,Cancer4,1e-06
376,EX_xyluglc_m,Cancer4,1e-06
377,EX_levan1000_m,Cancer4,1e-06
378,EX_arabinogal_m,Cancer4,1e-06
379,EX_pullulan1200_m,Cancer4,1e-06
380,EX_starch1200_m,Cancer4,1e-06
381,EX_amylopect900_m,Cancer4,1e-06
382,EX_rhamnogalurI_m,Cancer4,1e-06
383,EX_gthox_m,Cancer4,1e-06
384,EX_spmd_m,Cancer4,0.00024313851143069988
385,EX_fol_m,Cancer4,0.0016847783782369763
386,EX_ptrc_m,Cancer4,2.1463384536091887e-05
387,EX_orn_m,Cancer4,0.005876392254615455
388,EX_26dap_M_m,Cancer4,0.04105895758290802
389,EX_nmn_m,Cancer4,0.05354676749834962
390,EX_amp_m,Cancer4,0.0481554597042886
391,EX_cgly_m,Cancer4,0.09527694315488179
392,EX_cytd_m,Cancer8,0.0032157566135888604
393,EX_dcyt_m,Cancer8,0.0032995889460250005
394,EX_csn_m,Cancer8,0.002327304495036042
395,EX_arg_L_m,Cancer8,0.014999998302905881
396,EX_his_L_m,Cancer8,0.01500008115159629
397,EX_asn_L_m,Cancer8,0.0054898439359579165
398,EX_gln_L_m,Cancer8,0.0056252968353273924
399,EX_lys_L_m,Cancer8,0.006079266597858957
400,EX_trp_L_m,Cancer8,6.205523649812682e-05
401,EX_thm_m,Cancer8,0.00037363148779503193
402,EX_pheme_m,Cancer8,0.000570359829038344
403,EX_sheme_m,Cancer8,0.0005698033473625507
404,EX_fe2_m,Cancer8,5.525275535189738e-05
405,EX_fe3_m,Cancer8,0.0007520734438306465
406,EX_cu2_m,Cancer8,0.00040366825677558667
407,EX_cl_m,Cancer8,0.00040367311540576834
408,EX_mg2_m,Cancer8,0.00040367913935093075
409,EX_k_m,Cancer8,0.0004036736866008142
410,EX_mn2_m,Cancer8,0.00040366854339228027
411,EX_cobalt2_m,Cancer8,0.000403657373834431
412,EX_ca2_m,Cancer8,0.0004036683825783142
413,EX_zn2_m,Cancer8,0.00040366599379620136
414,EX_metsox_S_L_m,Cancer8,1e-06
415,EX_pydam_m,Cancer8,3.020203434813187e-05
416,EX_dextran40_m,Cancer8,0.00017296099753272387
417,EX_arabinoxyl_m,Cancer8,1e-06
418,EX_rhamnogalurII_m,Cancer8,1e-06
419,EX_pnto_R_m,Cancer8,1e-06
420,EX_q8_m,Cancer8,1e-06
421,EX_arabinan101_m,Cancer8,1e-06
422,EX_homogal_m,Cancer8,1e-06
423,EX_lichn_m,Cancer8,8.101080450381277e-05
424,EX_amylose300_m,Cancer8,4.600469727855872e-05
425,EX_glcmannan_m,Cancer8,3.1842997819308615e-05
426,EX_xylan_m,Cancer8,3.176534344489236e-05
427,EX_pect_m,Cancer8,1e-06
428,EX_pydx_m,Cancer8,1e-06
429,EX_gthrd_m,Cancer8,1e-06
430,EX_pi_m,Cancer8,1e-06
431,EX_galmannan_m,Cancer8,1.3864290233881407e-05
432,EX_xyluglc_m,Cancer8,1.2816191539679803e-05
433,EX_levan1000_m,Cancer8,1e-06
434,EX_arabinogal_m,Cancer8,2.1717816963012735e-05
435,EX_pullulan1200_m,Cancer8,1.094284495797139e-05
436,EX_starch1200_m,Cancer8,1.1730871481648591e-05
437,EX_amylopect900_m,Cancer8,1.5329514560329053e-05
438,EX_rhamnogalurI_m,Cancer8,1.4119092786403496e-05
439,EX_gthox_m,Cancer8,0.0002845151239220245
440,EX_spmd_m,Cancer8,0.00020113597873499064
441,EX_fol_m,Cancer8,0.001884988742815672
442,EX_ptrc_m,Cancer8,0.0025143799303709562
443,EX_orn_m,Cancer8,0.0178299096087291
444,EX_26dap_M_m,Cancer8,0.04059035965302599
445,EX_nmn_m,Cancer8,0.09726913829168114
446,EX_amp_m,Cancer8,0.016404162208852137
