,reaction,metabolite,sample_id,flux
4863,EX_MGlcn62(e),MGlcn62(e),Cancer1,7.858628520637753e-11
4864,EX_MGlcn62(e),MGlcn62(e),Cancer2,4.2519570959542136e-13
4865,EX_MGlcn62(e),MGlcn62(e),Cancer3,1.5690796864365873e-12
4866,EX_MGlcn62(e),MGlcn62(e),Cancer4,8.765524942710546e-13
4867,EX_MGlcn62(e),MGlcn62(e),Cancer5,2.843126570328804e-12
4868,EX_MGlcn62(e),MGlcn62(e),Cancer6,2.843188514379953e-07
4869,EX_MGlcn62(e),MGlcn62(e),Cancer7,9.43798320473618e-13
4870,EX_MGlcn62(e),MGlcn62(e),Cancer8,3.758228773026766e-11
4871,EX_MGlcn62(e),MGlcn62(e),Healthy1,1.1946450093411483e-09
4872,EX_MGlcn62(e),MGlcn62(e),Healthy2,1.0157359193548962e-13
4873,EX_MGlcn62(e),MGlcn62(e),Healthy3,1.3989429777623317e-09
4874,EX_MGlcn62(e),MGlcn62(e),Healthy4,1.0014509886619596e-13
4875,EX_MGlcn62(e),MGlcn62(e),Healthy5,1.2260926162509506e-12
4876,EX_MGlcn62(e),MGlcn62(e),Healthy6,3.6994756490706906e-11
4877,EX_MGlcn62(e),MGlcn62(e),Healthy7,4.826954106882052e-14
4878,EX_MGlcn62(e),MGlcn62(e),Healthy8,3.7364159355476946e-10
4879,EX_MGlcn62_rl(e),MGlcn62_rl(e),Cancer1,6.309498720826439e-10
4880,EX_MGlcn62_rl(e),MGlcn62_rl(e),Cancer2,2.4724036994119953e-13
4881,EX_MGlcn62_rl(e),MGlcn62_rl(e),Cancer3,4.536788940699924e-12
4882,EX_MGlcn62_rl(e),MGlcn62_rl(e),Cancer4,1.4820063364460656e-12
4883,EX_MGlcn62_rl(e),MGlcn62_rl(e),Cancer5,5.5388243636163615e-12
4884,EX_MGlcn62_rl(e),MGlcn62_rl(e),Cancer6,3.0580159258618285e-07
4885,EX_MGlcn62_rl(e),MGlcn62_rl(e),Cancer7,2.5678224557981543e-13
4886,EX_MGlcn62_rl(e),MGlcn62_rl(e),Cancer8,6.897181262041649e-11
4887,EX_MGlcn62_rl(e),MGlcn62_rl(e),Healthy1,8.67955150854464e-10
4888,EX_MGlcn62_rl(e),MGlcn62_rl(e),Healthy2,1.0569568330608742e-13
4889,EX_MGlcn62_rl(e),MGlcn62_rl(e),Healthy3,5.004896421898584e-09
4890,EX_MGlcn62_rl(e),MGlcn62_rl(e),Healthy4,1.0825398393334535e-13
4891,EX_MGlcn62_rl(e),MGlcn62_rl(e),Healthy5,1.7209040573649558e-12
4892,EX_MGlcn62_rl(e),MGlcn62_rl(e),Healthy6,1.2717480338599584e-11
4893,EX_MGlcn62_rl(e),MGlcn62_rl(e),Healthy7,1.0428110345075523e-13
4894,EX_MGlcn62_rl(e),MGlcn62_rl(e),Healthy8,1.8263810112023873e-09
4895,EX_MGlcn63(e),MGlcn63(e),Cancer1,1.7740005356968578e-09
4896,EX_MGlcn63(e),MGlcn63(e),Cancer2,5.637605802756931e-13
4897,EX_MGlcn63(e),MGlcn63(e),Cancer3,1.7541220667049537e-11
4898,EX_MGlcn63(e),MGlcn63(e),Cancer4,3.4144784745407077e-12
4899,EX_MGlcn63(e),MGlcn63(e),Cancer6,2.0095968060643157e-07
4900,EX_MGlcn63(e),MGlcn63(e),Cancer7,4.9208025808755e-13
4901,EX_MGlcn63(e),MGlcn63(e),Healthy2,8.824035029697364e-15
4902,EX_MGlcn63(e),MGlcn63(e),Healthy3,8.232391012645708e-09
4903,EX_MGlcn63(e),MGlcn63(e),Healthy5,6.115396262189583e-13
4904,EX_MGlcn63(e),MGlcn63(e),Healthy6,1.8948570037433613e-09
4905,EX_MGlcn63(e),MGlcn63(e),Healthy7,2.333315956315422e-13
4906,EX_MGlcn63(e),MGlcn63(e),Healthy8,3.081289093343126e-09
4907,EX_MGlcn63_rl(e),MGlcn63_rl(e),Cancer1,1.7716292240176769e-09
4908,EX_MGlcn63_rl(e),MGlcn63_rl(e),Cancer2,2.8663965805572163e-13
4909,EX_MGlcn63_rl(e),MGlcn63_rl(e),Cancer3,1.6314614536286812e-11
4910,EX_MGlcn63_rl(e),MGlcn63_rl(e),Cancer4,2.513501520600796e-12
4911,EX_MGlcn63_rl(e),MGlcn63_rl(e),Cancer5,1.1137665665387428e-11
4912,EX_MGlcn63_rl(e),MGlcn63_rl(e),Cancer6,5.913611110679787e-07
4913,EX_MGlcn63_rl(e),MGlcn63_rl(e),Cancer7,2.7539979625034303e-13
4914,EX_MGlcn63_rl(e),MGlcn63_rl(e),Healthy3,7.867787981281126e-09
4915,EX_MGlcn63_rl(e),MGlcn63_rl(e),Healthy5,1.7352740431431665e-12
4916,EX_MGlcn63_rl(e),MGlcn63_rl(e),Healthy7,5.283578053651861e-13
4917,EX_MGlcn63_rl(e),MGlcn63_rl(e),Healthy8,1.5766760683217877e-09
4918,EX_MGlcn64(e),MGlcn64(e),Cancer1,5.293581469823563e-10
4919,EX_MGlcn64(e),MGlcn64(e),Cancer2,5.205393811429177e-13
4920,EX_MGlcn64(e),MGlcn64(e),Cancer3,1.672068726948689e-11
4921,EX_MGlcn64(e),MGlcn64(e),Cancer4,5.298947041234114e-13
4922,EX_MGlcn64(e),MGlcn64(e),Cancer5,1.2064184831450684e-11
4923,EX_MGlcn64(e),MGlcn64(e),Cancer6,3.152654718226092e-07
4924,EX_MGlcn64(e),MGlcn64(e),Cancer7,2.39018188752226e-13
4925,EX_MGlcn64(e),MGlcn64(e),Cancer8,4.253432818571881e-11
4926,EX_MGlcn64(e),MGlcn64(e),Healthy1,7.922508438026394e-11
4927,EX_MGlcn64(e),MGlcn64(e),Healthy2,1.4365014767685776e-13
4928,EX_MGlcn64(e),MGlcn64(e),Healthy3,1.3667620264570973e-08
4929,EX_MGlcn64(e),MGlcn64(e),Healthy4,9.260404447662467e-15
4930,EX_MGlcn64(e),MGlcn64(e),Healthy5,1.1456341490983338e-12
4931,EX_MGlcn64(e),MGlcn64(e),Healthy6,1.3354852482390573e-11
4932,EX_MGlcn64(e),MGlcn64(e),Healthy7,4.926146421962206e-13
4933,EX_MGlcn64(e),MGlcn64(e),Healthy8,2.6703253219966234e-09
4934,EX_MGlcn64_rl(e),MGlcn64_rl(e),Cancer1,1.076548175975607e-09
4935,EX_MGlcn64_rl(e),MGlcn64_rl(e),Cancer2,7.624128715017739e-13
